buying_vhigh,buying_high,buying_med,buying_low,maint_vhigh,maint_high,maint_med,maint_low,doors_2,doors_3,doors_4,doors_more_or_equal_than_5,persons_2,persons_4,persons_more_than_4,log_boot_small,log_boot_med,log_boot_big,safety_low,safety_med,safety_high,class
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,unacc
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,acc
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,acc
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,acc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,unacc
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,unacc
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,unacc
